特性名,效果,图标文件,本地URL,远程URL,来源精灵,详情页
“国王”的威严,鸭吉吉国王的种族资质大幅增加，能耗为1的技能威力+50%。,国王_的威严.png,/ability-icons/%E5%9B%BD%E7%8E%8B_%E7%9A%84%E5%A8%81%E4%B8%A5.png,https://patchwiki.biligame.com/images/rocom/1/15/afktcirqrmsxhojpimkoj0bd8ljaeyv.png,鸭吉吉国王,https://wiki.biligame.com/rocom/%E9%B8%AD%E5%90%89%E5%90%89%E5%9B%BD%E7%8E%8B
三鼓作气,使用能耗为3的技能时，获得攻防永久+20%。,三鼓作气.png,/ability-icons/%E4%B8%89%E9%BC%93%E4%BD%9C%E6%B0%94.png,https://patchwiki.biligame.com/images/rocom/9/98/q3gug447le0776jvexbge62tauua76i.png,奇梦咪,https://wiki.biligame.com/rocom/%E5%A5%87%E6%A2%A6%E5%92%AA
下黑手,敌方精灵离场后，更换入场的精灵获得5层中毒。,下黑手.png,/ability-icons/%E4%B8%8B%E9%BB%91%E6%89%8B.png,https://patchwiki.biligame.com/images/rocom/6/6f/hltlfz836l4ad9je7tuwjtz2gtxt38j.png,忽幽狸|影狸,https://wiki.biligame.com/rocom/%E5%BF%BD%E5%B9%BD%E7%8B%B8|https://wiki.biligame.com/rocom/%E5%BD%B1%E7%8B%B8
不朽,力竭3回合后复活。,不朽.png,/ability-icons/%E4%B8%8D%E6%9C%BD.png,https://patchwiki.biligame.com/images/rocom/e/ec/1j0s7qcqzmoqyuv2e70cgq6ma1rjngn.png,大头骨龙|寂灭骨龙,https://wiki.biligame.com/rocom/%E5%A4%A7%E5%A4%B4%E9%AA%A8%E9%BE%99|https://wiki.biligame.com/rocom/%E5%AF%82%E7%81%AD%E9%AA%A8%E9%BE%99
不移,携带的无额外效果的攻击技能，威力+30%。,不移.png,/ability-icons/%E4%B8%8D%E7%A7%BB.png,https://patchwiki.biligame.com/images/rocom/d/db/qovtknnqvl6n3w4bxsiqgllcyh1w55r.png,记忆石,https://wiki.biligame.com/rocom/%E8%AE%B0%E5%BF%86%E7%9F%B3
专注力,入场首回合，获得物攻+100%。,专注力.png,/ability-icons/%E4%B8%93%E6%B3%A8%E5%8A%9B.png,https://patchwiki.biligame.com/images/rocom/2/23/o9niybauztbj5qjvsanz123hg8xqz0d.png,护主犬|音速犬,https://wiki.biligame.com/rocom/%E6%8A%A4%E4%B8%BB%E7%8A%AC|https://wiki.biligame.com/rocom/%E9%9F%B3%E9%80%9F%E7%8A%AC
乘风连击,使用翼系技能后，获得连击数+1。,乘风连击.png,/ability-icons/%E4%B9%98%E9%A3%8E%E8%BF%9E%E5%87%BB.png,https://patchwiki.biligame.com/images/rocom/a/a4/cyu5rqqakudxby5r44wlttr0yttshot.png,小狮鹫（崖间地的样子）|小狮鹫（高山地的样子）|神圣狮鹫（崖间地的样子）|神圣狮鹫（高山地的样子）,https://wiki.biligame.com/rocom/%E5%B0%8F%E7%8B%AE%E9%B9%AB%EF%BC%88%E5%B4%96%E9%97%B4%E5%9C%B0%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89|https://wiki.biligame.com/rocom/%E5%B0%8F%E7%8B%AE%E9%B9%AB%EF%BC%88%E9%AB%98%E5%B1%B1%E5%9C%B0%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89|https://wiki.biligame.com/rocom/%E7%A5%9E%E5%9C%A3%E7%8B%AE%E9%B9%AB%EF%BC%88%E5%B4%96%E9%97%B4%E5%9C%B0%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89|https://wiki.biligame.com/rocom/%E7%A5%9E%E5%9C%A3%E7%8B%AE%E9%B9%AB%EF%BC%88%E9%AB%98%E5%B1%B1%E5%9C%B0%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
仁心,敌方受到灼烧伤害时，自己回复等量生命。,仁心.png,/ability-icons/%E4%BB%81%E5%BF%83.png,https://patchwiki.biligame.com/images/rocom/5/5c/9gw51drq0gr00tpgw6qu7xpdm9t0fdi.png,治愈兔|红丝绒|红绒十字,https://wiki.biligame.com/rocom/%E6%B2%BB%E6%84%88%E5%85%94|https://wiki.biligame.com/rocom/%E7%BA%A2%E4%B8%9D%E7%BB%92|https://wiki.biligame.com/rocom/%E7%BA%A2%E7%BB%92%E5%8D%81%E5%AD%97
付给恶魔的赎价,击败敌方精灵时，敌方额外损失1点魔力。被敌方精灵击败时，自己额外损失1点魔力。,付给恶魔的赎价.png,/ability-icons/%E4%BB%98%E7%BB%99%E6%81%B6%E9%AD%94%E7%9A%84%E8%B5%8E%E4%BB%B7.png,https://patchwiki.biligame.com/images/rocom/0/00/mxdk7xez4d5r6ri997nqo3a1qu7byob.png,小帕尔|帕尔萨斯|龙息帕尔,https://wiki.biligame.com/rocom/%E5%B0%8F%E5%B8%95%E5%B0%94|https://wiki.biligame.com/rocom/%E5%B8%95%E5%B0%94%E8%90%A8%E6%96%AF|https://wiki.biligame.com/rocom/%E9%BE%99%E6%81%AF%E5%B8%95%E5%B0%94
侵蚀,敌方每有1层中毒效果，自己获得连击数+1。,侵蚀.png,/ability-icons/%E4%BE%B5%E8%9A%80.png,https://patchwiki.biligame.com/images/rocom/a/a7/t1dbb7t1wvy2039nuh89p49y8r2mx02.png,厉毒小萝|厉毒修萝,https://wiki.biligame.com/rocom/%E5%8E%89%E6%AF%92%E5%B0%8F%E8%90%9D|https://wiki.biligame.com/rocom/%E5%8E%89%E6%AF%92%E4%BF%AE%E8%90%9D
保卫,防御技能应对2次后，回满状态，变为棋绮后。,保卫.png,/ability-icons/%E4%BF%9D%E5%8D%AB.png,https://patchwiki.biligame.com/images/rocom/b/b2/i9tossg8hvcomvxidu7340905nqypyj.png,棋齐垒（白子）|棋齐垒（黑子）,https://wiki.biligame.com/rocom/%E6%A3%8B%E9%BD%90%E5%9E%92%EF%BC%88%E7%99%BD%E5%AD%90%EF%BC%89|https://wiki.biligame.com/rocom/%E6%A3%8B%E9%BD%90%E5%9E%92%EF%BC%88%E9%BB%91%E5%AD%90%EF%BC%89
保守派,总技能能耗小于4时，自己获得双防+80%。,保守派.png,/ability-icons/%E4%BF%9D%E5%AE%88%E6%B4%BE.png,https://patchwiki.biligame.com/images/rocom/7/71/aq9ixywtau29ohlv3js5d26jg950sux.png,小鼠獭|燕尾獭|卷胡巨獭,https://wiki.biligame.com/rocom/%E5%B0%8F%E9%BC%A0%E7%8D%AD|https://wiki.biligame.com/rocom/%E7%87%95%E5%B0%BE%E7%8D%AD|https://wiki.biligame.com/rocom/%E5%8D%B7%E8%83%A1%E5%B7%A8%E7%8D%AD
倾轧,携带的技能受能耗变化效果的影响翻倍。,倾轧.png,/ability-icons/%E5%80%BE%E8%BD%A7.png,https://patchwiki.biligame.com/images/rocom/2/2d/ah8kbtblc02xkayqz7ix5e67pr8tmzy.png,深蓝鲸,https://wiki.biligame.com/rocom/%E6%B7%B1%E8%93%9D%E9%B2%B8
偏振,受到自己携带技能系别的攻击伤害-40%。,偏振.png,/ability-icons/%E5%81%8F%E6%8C%AF.png,https://patchwiki.biligame.com/images/rocom/5/57/b7m5km38efo4bka6bztu66730sm3rcu.png,矿晶虫|晶石蜗（西瓜碧玺的样子）|晶石蜗（莲花刚玉的样子）|晶石蜗（星彩榴石的样子）,https://wiki.biligame.com/rocom/%E7%9F%BF%E6%99%B6%E8%99%AB|https://wiki.biligame.com/rocom/%E6%99%B6%E7%9F%B3%E8%9C%97%EF%BC%88%E8%A5%BF%E7%93%9C%E7%A2%A7%E7%8E%BA%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89|https://wiki.biligame.com/rocom/%E6%99%B6%E7%9F%B3%E8%9C%97%EF%BC%88%E8%8E%B2%E8%8A%B1%E5%88%9A%E7%8E%89%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89|https://wiki.biligame.com/rocom/%E6%99%B6%E7%9F%B3%E8%9C%97%EF%BC%88%E6%98%9F%E5%BD%A9%E6%A6%B4%E7%9F%B3%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
做噩梦,敌方精灵离场后，更换入场的精灵失去3能量。,做噩梦.png,/ability-icons/%E5%81%9A%E5%99%A9%E6%A2%A6.png,https://patchwiki.biligame.com/images/rocom/d/df/8xsv3jjilloagf9vibjfss4011n54ui.png,梦游（穿星星睡衣的样子）|梦游（穿旧睡衣的样子）|梦悠悠（穿星星睡衣的样子）|梦悠悠（穿旧睡衣的样子）,https://wiki.biligame.com/rocom/%E6%A2%A6%E6%B8%B8%EF%BC%88%E7%A9%BF%E6%98%9F%E6%98%9F%E7%9D%A1%E8%A1%A3%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89|https://wiki.biligame.com/rocom/%E6%A2%A6%E6%B8%B8%EF%BC%88%E7%A9%BF%E6%97%A7%E7%9D%A1%E8%A1%A3%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89|https://wiki.biligame.com/rocom/%E6%A2%A6%E6%82%A0%E6%82%A0%EF%BC%88%E7%A9%BF%E6%98%9F%E6%98%9F%E7%9D%A1%E8%A1%A3%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89|https://wiki.biligame.com/rocom/%E6%A2%A6%E6%82%A0%E6%82%A0%EF%BC%88%E7%A9%BF%E6%97%A7%E7%9D%A1%E8%A1%A3%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
全神贯注,入场时，获得物攻+100%，每次行动后-20%。,全神贯注.png,/ability-icons/%E5%85%A8%E7%A5%9E%E8%B4%AF%E6%B3%A8.png,https://patchwiki.biligame.com/images/rocom/6/63/o9niybauztbj5qjvsanz123hg8xqz0d.png,风暴战犬,https://wiki.biligame.com/rocom/%E9%A3%8E%E6%9A%B4%E6%88%98%E7%8A%AC
共鸣,携带的【虫鸣】技能威力+20。,共鸣.png,/ability-icons/%E5%85%B1%E9%B8%A3.png,https://patchwiki.biligame.com/images/rocom/0/08/i9dj7lzfoegm3644s1ymtsmqkhv9zzn.png,旋叶虫（金黄的样子）|旋叶虫（枯叶的样子）|蓬叶虫（金黄的样子）|蓬叶虫（枯叶的样子）,https://wiki.biligame.com/rocom/%E6%97%8B%E5%8F%B6%E8%99%AB%EF%BC%88%E9%87%91%E9%BB%84%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89|https://wiki.biligame.com/rocom/%E6%97%8B%E5%8F%B6%E8%99%AB%EF%BC%88%E6%9E%AF%E5%8F%B6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89|https://wiki.biligame.com/rocom/%E8%93%AC%E5%8F%B6%E8%99%AB%EF%BC%88%E9%87%91%E9%BB%84%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89|https://wiki.biligame.com/rocom/%E8%93%AC%E5%8F%B6%E8%99%AB%EF%BC%88%E6%9E%AF%E5%8F%B6%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
养分内循环,回合结束时，回复6能量。,养分内循环.png,/ability-icons/%E5%85%BB%E5%88%86%E5%86%85%E5%BE%AA%E7%8E%AF.png,https://patchwiki.biligame.com/images/rocom/6/60/0g00rrq2l4mclh961rilvesy17bz473.png,奇丽果,https://wiki.biligame.com/rocom/%E5%A5%87%E4%B8%BD%E6%9E%9C
养分重吸收,回合结束时，回复3能量。,养分重吸收.png,/ability-icons/%E5%85%BB%E5%88%86%E9%87%8D%E5%90%B8%E6%94%B6.png,https://patchwiki.biligame.com/images/rocom/d/d2/0g00rrq2l4mclh961rilvesy17bz473.png,奇丽草|奇丽叶|奇丽花,https://wiki.biligame.com/rocom/%E5%A5%87%E4%B8%BD%E8%8D%89|https://wiki.biligame.com/rocom/%E5%A5%87%E4%B8%BD%E5%8F%B6|https://wiki.biligame.com/rocom/%E5%A5%87%E4%B8%BD%E8%8A%B1
冰封,在场时，敌方全技能能耗+1。,冰封.png,/ability-icons/%E5%86%B0%E5%B0%81.png,https://patchwiki.biligame.com/images/rocom/4/43/8k2ikdmz7tkg80jiejvkfk54qhv16qd.png,冰封怨灵|雪娃娃|雪灵,https://wiki.biligame.com/rocom/%E5%86%B0%E5%B0%81%E6%80%A8%E7%81%B5|https://wiki.biligame.com/rocom/%E9%9B%AA%E5%A8%83%E5%A8%83|https://wiki.biligame.com/rocom/%E9%9B%AA%E7%81%B5
冰钻,敌方携带技能总能耗每有1点，自己攻击时威力+10%。,冰钻.png,/ability-icons/%E5%86%B0%E9%92%BB.png,https://patchwiki.biligame.com/images/rocom/7/76/odln4oxozen0b144f69exc37t00jfh0.png,布鲁斯|冰钻布鲁斯|雪顶布鲁斯,https://wiki.biligame.com/rocom/%E5%B8%83%E9%B2%81%E6%96%AF|https://wiki.biligame.com/rocom/%E5%86%B0%E9%92%BB%E5%B8%83%E9%B2%81%E6%96%AF|https://wiki.biligame.com/rocom/%E9%9B%AA%E9%A1%B6%E5%B8%83%E9%B2%81%E6%96%AF
冻土,每携带1个冰系技能进入战斗，地系技能威力+10%。,冻土.png,/ability-icons/%E5%86%BB%E5%9C%9F.png,https://patchwiki.biligame.com/images/rocom/3/34/sl16z4agj6gofa7rwhxj6047eln22h2.png,呼呼猪|獠牙猪,https://wiki.biligame.com/rocom/%E5%91%BC%E5%91%BC%E7%8C%AA|https://wiki.biligame.com/rocom/%E7%8D%A0%E7%89%99%E7%8C%AA
刺肤,每受到1次攻击，对攻击自己的精灵造成50威力物理伤害。,刺肤.png,/ability-icons/%E5%88%BA%E8%82%A4.png,https://patchwiki.biligame.com/images/rocom/d/d3/6q9rng23s3xw4z49k2ithxrlpgza8nb.png,石肤蜥（本来的样子）|石肤蜥（球球尾巴的样子）|石刺蜥（本来的样子）|石刺蜥（球球尾巴的样子）,https://wiki.biligame.com/rocom/%E7%9F%B3%E8%82%A4%E8%9C%A5%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89|https://wiki.biligame.com/rocom/%E7%9F%B3%E8%82%A4%E8%9C%A5%EF%BC%88%E7%90%83%E7%90%83%E5%B0%BE%E5%B7%B4%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89|https://wiki.biligame.com/rocom/%E7%9F%B3%E5%88%BA%E8%9C%A5%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89|https://wiki.biligame.com/rocom/%E7%9F%B3%E5%88%BA%E8%9C%A5%EF%BC%88%E7%90%83%E7%90%83%E5%B0%BE%E5%B7%B4%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
加个雪球,使敌方获得冻结时，也会使其获得2层冻结。,加个雪球.png,/ability-icons/%E5%8A%A0%E4%B8%AA%E9%9B%AA%E7%90%83.png,https://patchwiki.biligame.com/images/rocom/7/7a/2kexwk98ingow74fesaq3bou68rs2uz.png,脆筒甜甜|香草甜甜|香草甜甜（杨桃饰品）|香草甜甜（蓝莓饰品）,https://wiki.biligame.com/rocom/%E8%84%86%E7%AD%92%E7%94%9C%E7%94%9C|https://wiki.biligame.com/rocom/%E9%A6%99%E8%8D%89%E7%94%9C%E7%94%9C|https://wiki.biligame.com/rocom/%E9%A6%99%E8%8D%89%E7%94%9C%E7%94%9C%EF%BC%88%E6%9D%A8%E6%A1%83%E9%A5%B0%E5%93%81%EF%BC%89|https://wiki.biligame.com/rocom/%E9%A6%99%E8%8D%89%E7%94%9C%E7%94%9C%EF%BC%88%E8%93%9D%E8%8E%93%E9%A5%B0%E5%93%81%EF%BC%89
助燃,使用火系技能后，获得双攻+20%。,助燃.png,/ability-icons/%E5%8A%A9%E7%87%83.png,https://patchwiki.biligame.com/images/rocom/e/ec/6zgbtpjc9gg8cxqz7rl0ytu07a80afn.png,火花|焰火|火神,https://wiki.biligame.com/rocom/%E7%81%AB%E8%8A%B1|https://wiki.biligame.com/rocom/%E7%84%B0%E7%81%AB|https://wiki.biligame.com/rocom/%E7%81%AB%E7%A5%9E
勇敢,携带的能耗大于3的技能，威力+40%。,勇敢.png,/ability-icons/%E5%8B%87%E6%95%A2.png,https://patchwiki.biligame.com/images/rocom/2/29/5zgh93w813nm5qmpx7buaydr9vn1zoh.png,蒲公英|蒲公英娃娃,https://wiki.biligame.com/rocom/%E8%92%B2%E5%85%AC%E8%8B%B1|https://wiki.biligame.com/rocom/%E8%92%B2%E5%85%AC%E8%8B%B1%E5%A8%83%E5%A8%83
化茧,受到致命伤害时，获得1层萌化，并免疫此次伤害。,化茧.png,/ability-icons/%E5%8C%96%E8%8C%A7.png,https://patchwiki.biligame.com/images/rocom/d/da/ldfonhaz9cmjhqpgourdzg89yhfui53.png,毛毛|爬爬|化蝶（平常的样子）|化蝶（幽冥眼的样子）,https://wiki.biligame.com/rocom/%E6%AF%9B%E6%AF%9B|https://wiki.biligame.com/rocom/%E7%88%AC%E7%88%AC|https://wiki.biligame.com/rocom/%E5%8C%96%E8%9D%B6%EF%BC%88%E5%B9%B3%E5%B8%B8%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89|https://wiki.biligame.com/rocom/%E5%8C%96%E8%9D%B6%EF%BC%88%E5%B9%BD%E5%86%A5%E7%9C%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89
双向光速,在场时，所有回合结束时触发，触发次数+1。,双向光速.png,/ability-icons/%E5%8F%8C%E5%90%91%E5%85%89%E9%80%9F.png,https://patchwiki.biligame.com/images/rocom/9/94/3o132fi9lrdvfpk2nqpo9hdl1twtz7h.png,粉星仔|粉耳星兔,https://wiki.biligame.com/rocom/%E7%B2%89%E6%98%9F%E4%BB%94|https://wiki.biligame.com/rocom/%E7%B2%89%E8%80%B3%E6%98%9F%E5%85%94
变形活画,攻击时，敌方每有1层增益，本次技能威力+10%。,变形活画.png,/ability-icons/%E5%8F%98%E5%BD%A2%E6%B4%BB%E7%94%BB.png,https://patchwiki.biligame.com/images/rocom/8/81/5ul6q493tr4letf18l53qcebmgtrfeb.png,画间沉铁兽,https://wiki.biligame.com/rocom/%E7%94%BB%E9%97%B4%E6%B2%89%E9%93%81%E5%85%BD
吉利丁片,离场后，更换入场的精灵获得双防+20%且免疫冻结。,吉利丁片.png,/ability-icons/%E5%90%89%E5%88%A9%E4%B8%81%E7%89%87.png,https://patchwiki.biligame.com/images/rocom/3/36/onvv5h06bevh69pgmbotxxvzbykm6va.png,椰浆布丁,https://wiki.biligame.com/rocom/%E6%A4%B0%E6%B5%86%E5%B8%83%E4%B8%81
向心力,1号位和2号位技能获得传动1和威力+30。,向心力.png,/ability-icons/%E5%90%91%E5%BF%83%E5%8A%9B.png,https://patchwiki.biligame.com/images/rocom/b/b6/n9fj45dehlcow5zb0ru4ev6gbwcjgyh.png,缇塔|声波缇塔,https://wiki.biligame.com/rocom/%E7%BC%87%E5%A1%94|https://wiki.biligame.com/rocom/%E5%A3%B0%E6%B3%A2%E7%BC%87%E5%A1%94
吟游之弦,赋予的印记不会替换其他印记，而是同时生效。,吟游之弦.png,/ability-icons/%E5%90%9F%E6%B8%B8%E4%B9%8B%E5%BC%A6.png,https://patchwiki.biligame.com/images/rocom/4/49/8pzr9yv99kj2ps0lu4knt7ad74a4yxw.png,里拉鳐,https://wiki.biligame.com/rocom/%E9%87%8C%E6%8B%89%E9%B3%90
吸积盘,回合结束时，敌方获得2层星陨印记。,吸积盘.png,/ability-icons/%E5%90%B8%E7%A7%AF%E7%9B%98.png,https://patchwiki.biligame.com/images/rocom/f/f3/s7e3nk1k0ftxv5gxn9m9zcoapn9iz5v.png,哭哭菇|怖须菇|怖哭菇,https://wiki.biligame.com/rocom/%E5%93%AD%E5%93%AD%E8%8F%87|https://wiki.biligame.com/rocom/%E6%80%96%E9%A1%BB%E8%8F%87|https://wiki.biligame.com/rocom/%E6%80%96%E5%93%AD%E8%8F%87
咔咔冲刺,若先于敌方行动，行动后获得连击数+1。,咔咔冲刺.png,/ability-icons/%E5%92%94%E5%92%94%E5%86%B2%E5%88%BA.png,https://patchwiki.biligame.com/images/rocom/3/37/opwiei2zgg0q0sg49g8xqit7yjsdqal.png,咔咔羽毛|咔咔雀|咔咔鸟,https://wiki.biligame.com/rocom/%E5%92%94%E5%92%94%E7%BE%BD%E6%AF%9B|https://wiki.biligame.com/rocom/%E5%92%94%E5%92%94%E9%9B%80|https://wiki.biligame.com/rocom/%E5%92%94%E5%92%94%E9%B8%9F
哨兵,回合开始时若敌方技能足够击败自己，自己获得速度+50，行动后脱离。,哨兵.png,/ability-icons/%E5%93%A8%E5%85%B5.png,https://patchwiki.biligame.com/images/rocom/5/51/gga1442akfsw0564qz0h7n6jzhdtyiv.png,优优|绒光优优,https://wiki.biligame.com/rocom/%E4%BC%98%E4%BC%98|https://wiki.biligame.com/rocom/%E7%BB%92%E5%85%89%E4%BC%98%E4%BC%98
囤积,每有1能量，获得双防+10%。,囤积.png,/ability-icons/%E5%9B%A4%E7%A7%AF.png,https://patchwiki.biligame.com/images/rocom/4/42/jqkohwwvxo3wu1icu43f3q4cdtufan7.png,绿耳松鼠|蹦床松鼠|抱枕松鼠,https://wiki.biligame.com/rocom/%E7%BB%BF%E8%80%B3%E6%9D%BE%E9%BC%A0|https://wiki.biligame.com/rocom/%E8%B9%A6%E5%BA%8A%E6%9D%BE%E9%BC%A0|https://wiki.biligame.com/rocom/%E6%8A%B1%E6%9E%95%E6%9D%BE%E9%BC%A0
