技能名,属性,分类,耗能,威力,技能描述,可学习精灵,技能图标,技能图标文件,属性图标,分类图标,技能组,Wiki地址
冰锋横扫,冰,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/0/07/hyokjxgrcxum1ud8wash9n7uf8t0dgn.png,冰锋横扫.png,https://patchwiki.biligame.com/images/rocom/9/9b/oxnxxud1xhopw87c7mnawxijz8r1hns.png,,0,https://wiki.biligame.com/rocom/%E5%86%B0%E9%94%8B%E6%A8%AA%E6%89%AB
抓挠,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/5/57/ee1ljglkso5orzsmhfzi9nh7hvz9icj.png,抓挠.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E6%8A%93%E6%8C%A0
猛烈撞击,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/e/eb/cfuyfb8bey4c7scjjg2v9amspxmdldo.png,猛烈撞击.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E7%8C%9B%E7%83%88%E6%92%9E%E5%87%BB
飞踢,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/5/5d/amf77hu8ppilm1gfdurryehb1iycik8.png,飞踢.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E9%A3%9E%E8%B8%A2
扫尾,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/3/38/h35exllecoex0p1mbyhmm9sjzfu0pe2.png,扫尾.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E6%89%AB%E5%B0%BE
迫近攻击,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/1/15/4u4vbx396wbck131jmaxj6vz70mekbz.png,迫近攻击.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E8%BF%AB%E8%BF%91%E6%94%BB%E5%87%BB
音爆,普通,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/6/62/6f7sfp0fh4ogqon6s5uk3plpktu3xcp.png,音爆.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E9%9F%B3%E7%88%86
冲撞,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/9/97/etq57g5gxlr8vh09f1oqjmmje66if5l.png,冲撞.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E5%86%B2%E6%92%9E
见招拆招,普通,物攻,,,,,https://patchwiki.biligame.com/images/rocom/b/b3/iuyyreltlni06z2xyqycf0x4ggyy2dg.png,见招拆招.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E8%A7%81%E6%8B%9B%E6%8B%86%E6%8B%9B
触底强击,普通,魔攻,,,,,https://patchwiki.biligame.com/images/rocom/6/65/026dvu7wzvwtppsn7tgez381pr9oc8a.png,触底强击.png,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,,0,https://wiki.biligame.com/rocom/%E8%A7%A6%E5%BA%95%E5%BC%BA%E5%87%BB
