类型,名称,远程URL,本地文件,本地URL
element,光,https://patchwiki.biligame.com/images/rocom/d/de/pxfi7cg0j94c45uxf4itigu90wis7jr.png,光.png,/skill-meta-icons/elements/%E5%85%89.png
element,冰,https://patchwiki.biligame.com/images/rocom/9/9b/oxnxxud1xhopw87c7mnawxijz8r1hns.png,冰.png,/skill-meta-icons/elements/%E5%86%B0.png
element,地,https://patchwiki.biligame.com/images/rocom/3/32/0w5pybmkd8qm306doqx8kh5onl1o8cq.png,地.png,/skill-meta-icons/elements/%E5%9C%B0.png
element,幻,https://patchwiki.biligame.com/images/rocom/6/64/89miqle961qdw2tt56hb78bps6f34ci.png,幻.png,/skill-meta-icons/elements/%E5%B9%BB.png
element,幽,https://patchwiki.biligame.com/images/rocom/e/e7/ttqdi3zlz72g5dgmc8qg9ko4aorwllw.png,幽.png,/skill-meta-icons/elements/%E5%B9%BD.png
element,恶,https://patchwiki.biligame.com/images/rocom/3/3b/hrdmz7n0qt3bnmir9fdn7977fvleec0.png,恶.png,/skill-meta-icons/elements/%E6%81%B6.png
element,普通,https://patchwiki.biligame.com/images/rocom/6/69/nc77midbqeafn7i2snh5a5h16ctdi0o.png,普通.png,/skill-meta-icons/elements/%E6%99%AE%E9%80%9A.png
element,机械,https://patchwiki.biligame.com/images/rocom/a/ad/fw81a2pvdickbcnq5rt17m6066cchcf.png,机械.png,/skill-meta-icons/elements/%E6%9C%BA%E6%A2%B0.png
element,武,https://patchwiki.biligame.com/images/rocom/5/52/q9hbq9nrnhjt7t86hy7sftv3e2e5fvx.png,武.png,/skill-meta-icons/elements/%E6%AD%A6.png
element,毒,https://patchwiki.biligame.com/images/rocom/5/53/jnd3vijasgthdz2ukggyfpisd464r2v.png,毒.png,/skill-meta-icons/elements/%E6%AF%92.png
element,水,https://patchwiki.biligame.com/images/rocom/d/d1/csqsyhq1k488329455xdlzdcybv6zjh.png,水.png,/skill-meta-icons/elements/%E6%B0%B4.png
element,火,https://patchwiki.biligame.com/images/rocom/a/ab/8wvxz3p479e2b702afdqyzhx9340qgx.png,火.png,/skill-meta-icons/elements/%E7%81%AB.png
element,电,https://patchwiki.biligame.com/images/rocom/0/02/iqzkamzcra945jsw5z6o8h9p30fv7db.png,电.png,/skill-meta-icons/elements/%E7%94%B5.png
element,翼,https://patchwiki.biligame.com/images/rocom/2/2b/p7wdw88ziupp84s1mr8t9t602psswzz.png,翼.png,/skill-meta-icons/elements/%E7%BF%BC.png
element,草,https://patchwiki.biligame.com/images/rocom/1/12/b8bsilucec9a98rsmqkmxt06c4mnnix.png,草.png,/skill-meta-icons/elements/%E8%8D%89.png
element,萌,https://patchwiki.biligame.com/images/rocom/5/5f/80jhk99eosjv1ld26wp7ljtmif27lfv.png,萌.png,/skill-meta-icons/elements/%E8%90%8C.png
element,虫,https://patchwiki.biligame.com/images/rocom/c/cb/q3mlwj270f67spwr934hpqx7hj62bm3.png,虫.png,/skill-meta-icons/elements/%E8%99%AB.png
element,龙,https://patchwiki.biligame.com/images/rocom/6/65/kgcg0hvl19o7up0ug8f42bbvhi71dke.png,龙.png,/skill-meta-icons/elements/%E9%BE%99.png
category,物攻,https://patchwiki.biligame.com/images/rocom/3/38/3jslfftjor32qzwo84pr34yc0uxfi7u.png,物攻.png,/skill-meta-icons/categories/%E7%89%A9%E6%94%BB.png
category,状态,https://patchwiki.biligame.com/images/rocom/1/1b/gd9l84qqm0jxpt0l5gth8uye8g0i6oh.png,状态.png,/skill-meta-icons/categories/%E7%8A%B6%E6%80%81.png
category,防御,https://patchwiki.biligame.com/images/rocom/f/fd/58pcwvio6hencvzf9cr8g32ls8t65wh.png,防御.png,/skill-meta-icons/categories/%E9%98%B2%E5%BE%A1.png
category,魔攻,https://patchwiki.biligame.com/images/rocom/d/de/ifmrkqjczox7np6i811sxjhx2d8r7vd.png,魔攻.png,/skill-meta-icons/categories/%E9%AD%94%E6%94%BB.png
misc,耗能,,energy.svg,/skill-meta-icons/misc/energy.svg
