编号,名字,阶段,属性,形态分类,形态,是否有异色,图片文件名,本地URL,来源图片URL,详情页URL
NO.001,迪莫,最终形态,光,原始形态,原始形态,否,NO001_迪莫.png,/icons/NO001_%E8%BF%AA%E8%8E%AB.png,https://patchwiki.biligame.com/images/rocom/2/25/o64cvcxq1l6tlur77xjqbwx2s4imabd.png,https://wiki.biligame.com/rocom/%E8%BF%AA%E8%8E%AB
NO.002,喵喵,Ⅰ阶,草,原始形态,原始形态,否,NO002_喵喵.png,/icons/NO002_%E5%96%B5%E5%96%B5.png,https://patchwiki.biligame.com/images/rocom/3/34/swx8tx6o3mpyfnqrkxu1kth6sgzott2.png,https://wiki.biligame.com/rocom/%E5%96%B5%E5%96%B5
NO.003,喵呜,Ⅱ阶,草,原始形态,原始形态,否,NO003_喵呜.png,/icons/NO003_%E5%96%B5%E5%91%9C.png,https://patchwiki.biligame.com/images/rocom/8/8d/dfnsd50cr86p61a37sanzt5jp3i022u.png,https://wiki.biligame.com/rocom/%E5%96%B5%E5%91%9C
NO.004,魔力猫,最终形态,草,原始形态,原始形态,否,NO004_魔力猫.png,/icons/NO004_%E9%AD%94%E5%8A%9B%E7%8C%AB.png,https://patchwiki.biligame.com/images/rocom/3/33/p4l4i0xh8rzj0mosp9sgw4qjfvlbl0r.png,https://wiki.biligame.com/rocom/%E9%AD%94%E5%8A%9B%E7%8C%AB
NO.005,火花,Ⅰ阶,火,原始形态,原始形态,否,NO005_火花.png,/icons/NO005_%E7%81%AB%E8%8A%B1.png,https://patchwiki.biligame.com/images/rocom/a/a1/jzel7fdbrw66zvccwcx4ekg72d66m21.png,https://wiki.biligame.com/rocom/%E7%81%AB%E8%8A%B1
NO.006,焰火,Ⅱ阶,火,原始形态,原始形态,否,NO006_焰火.png,/icons/NO006_%E7%84%B0%E7%81%AB.png,https://patchwiki.biligame.com/images/rocom/b/b9/r8j0510jtxabhlyl5srx22orefxhh5g.png,https://wiki.biligame.com/rocom/%E7%84%B0%E7%81%AB
NO.007,火神,最终形态,火,原始形态,原始形态,否,NO007_火神.png,/icons/NO007_%E7%81%AB%E7%A5%9E.png,https://patchwiki.biligame.com/images/rocom/4/4f/627a47xjvghn9okifk66vhsx4uv7101.png,https://wiki.biligame.com/rocom/%E7%81%AB%E7%A5%9E
NO.008,水蓝蓝,Ⅰ阶,水,原始形态,原始形态,否,NO008_水蓝蓝.png,/icons/NO008_%E6%B0%B4%E8%93%9D%E8%93%9D.png,https://patchwiki.biligame.com/images/rocom/0/0b/km91vn87f93y9ukj6ir6wsc4dl8shx1.png,https://wiki.biligame.com/rocom/%E6%B0%B4%E8%93%9D%E8%93%9D
NO.009,波波拉,Ⅱ阶,水,原始形态,原始形态,否,NO009_波波拉.png,/icons/NO009_%E6%B3%A2%E6%B3%A2%E6%8B%89.png,https://patchwiki.biligame.com/images/rocom/c/c2/63ym3z73l9k65ws69a63g8f0itajsu4.png,https://wiki.biligame.com/rocom/%E6%B3%A2%E6%B3%A2%E6%8B%89
NO.010,水灵,最终形态,水,原始形态,原始形态,否,NO010_水灵.png,/icons/NO010_%E6%B0%B4%E7%81%B5.png,https://patchwiki.biligame.com/images/rocom/5/50/33by7ml0nsrsxxq1l8l2uj4izqnuwpd.png,https://wiki.biligame.com/rocom/%E6%B0%B4%E7%81%B5
